食物名称,热量,食物热量详情页
黑芝麻，又叫芝麻籽(黑)、胡麻、巨胜,热量：559 大卡(每100克),http://www.boohee.com/shiwu/zhimazi_hei
豆腐，又叫水豆腐,热量：84 大卡(每100克),http://www.boohee.com/shiwu/doufu_junzhi
核桃(干)，又叫核桃仁、山核桃、胡桃仁、羌桃、黑桃、胡桃肉、万岁子、长寿果、胡桃,热量：646 大卡(每100克),http://www.boohee.com/shiwu/hetao_gan
豆腐花，又叫豆腐花、豆花、豆腐粉,热量：15 大卡(每100毫升),http://www.boohee.com/shiwu/doufunao
豆腐(南)，又叫嫩豆腐、软豆腐、绢豆腐，涓豆腐,热量：87 大卡(每100克),http://www.boohee.com/shiwu/doufu_nan
炒花生,热量：601 大卡(每100克),http://www.boohee.com/shiwu/huasheng_chao
樱桃，又叫车厘子、莺桃、含桃、荆桃、朱樱、朱果、樱珠,热量：46 大卡(每100克),http://www.boohee.com/shiwu/yingtao
黄豆芽，又叫大豆芽、清水豆芽,热量：47 大卡(每100克),http://www.boohee.com/shiwu/huangdouya
苦瓜，又叫凉瓜、癞瓜、锦荔枝、癞葡萄、凉瓜，赖葡萄，癞瓜,热量：22 大卡(每100克),http://www.boohee.com/shiwu/kugua
小叶桔,热量：40 大卡(每100克),http://www.boohee.com/shiwu/xiaoyejie
豆角,热量：34 大卡(每100克),http://www.boohee.com/shiwu/doujiao
芹菜茎,热量：22 大卡(每100克),http://www.boohee.com/shiwu/qincaijing
鹅黄梨,热量：41 大卡(每100克),http://www.boohee.com/shiwu/ehuangli
丝瓜，又叫天丝瓜、天罗、蜜瓜、布瓜、天吊瓜、纯阳瓜、倒阳菜、水瓜、絮瓜、缣瓜、蛮瓜、绵瓜,热量：20 大卡(每100克),http://www.boohee.com/shiwu/sigua
巨峰葡萄,热量：51 大卡(每100克),http://www.boohee.com/shiwu/jufengputao
白兰瓜，又叫兰州瓜、华莱士、兰州蜜瓜,热量：23 大卡(每100克),http://www.boohee.com/shiwu/bailangua
杂粮煎饼，又叫山东杂粮煎饼,热量：266 大卡(每100克),http://www.boohee.com/shiwu/zaliangjianbing
玉米小米粥，又叫玉米小米粥,热量：47 大卡(每100毫升),http://www.boohee.com/shiwu/yumitangxiaomizhou
肉松面包,热量：326 大卡(每100克),http://www.boohee.com/shiwu/rousongmianbao
豆沙包,热量：319 大卡(每100克),http://www.boohee.com/shiwu/doushabao
麻酱拌黄瓜,热量：51 大卡(每100克),http://www.boohee.com/shiwu/majiangbanhuanggua
凉拌黄瓜，又叫拍黄瓜、拌青瓜、拌黄瓜,热量：42 大卡(每100克),http://www.boohee.com/shiwu/qingbanhuanggua
红烧带鱼,热量：170 大卡(每100克),http://www.boohee.com/shiwu/hongshaodaiyu
虾仁冬瓜丝,热量：45 大卡(每100克),http://www.boohee.com/shiwu/xiapidongguasi
珍珠奶茶，又叫奶茶、招牌奶茶,热量：52 大卡(每100克),http://www.boohee.com/shiwu/zhenzhunaicha
红烧鸡块，又叫鸡块、红烧鸡肉、烧鸡块、红烧鸡、柴火鸡,热量：224 大卡(每100克),http://www.boohee.com/shiwu/hongshaojikuai
豆腐脑(带卤)，又叫豆腐花、豆腐脑,热量：48 大卡(每100克),http://www.boohee.com/shiwu/doufunao_dailu
花生，又叫落花参、番豆、长生果、落地松、地果、番果、地豆、唐人豆、花生（鲜）、落花生，长生果,热量：313 大卡(每100克),http://www.boohee.com/shiwu/huasheng_xian
杏仁，又叫南杏仁,热量：578 大卡(每100克),http://www.boohee.com/shiwu/xingren
核桃(鲜),热量：336 大卡(每100克),http://www.boohee.com/shiwu/hetao_xian
黄豆，又叫大豆、黄大豆、枝豆、菜用大豆、大豆,热量：390 大卡(每100克),http://www.boohee.com/shiwu/huangdou
毛豆，又叫枝豆、菜用大豆、青豆，菜用大豆,热量：131 大卡(每100克),http://www.boohee.com/shiwu/maodou
豆腐干(香干)，又叫豆干、香干,热量：152 大卡(每100克),http://www.boohee.com/shiwu/doufugan_xianggan
葵花子(奶油香瓜子),热量：620 大卡(每100克),http://www.boohee.com/shiwu/kuihuazi_naiyouxiangguazi
油豆腐,热量：245 大卡(每100克),http://www.boohee.com/shiwu/youdoufu
豆浆粉,热量：426 大卡(每100克),http://www.boohee.com/shiwu/doujiangfen
花生米(生)，又叫花生仁（生）,热量：574 大卡(每100克),http://www.boohee.com/shiwu/huashengren_sheng
花生米(炒)，又叫花生仁（炒）,热量：589 大卡(每100克),http://www.boohee.com/shiwu/huashengren_chao
北豆腐，又叫软玉、豆腐(北),热量：116 大卡(每100克),http://www.boohee.com/shiwu/doufu_bei
栗子，又叫板栗,热量：214 大卡(每100克),http://www.boohee.com/shiwu/lizi_shu
Easy Fun 低脂夹心牛肉豆脯(五香味),热量：121 大卡(每100克),http://www.boohee.com/shiwu/fd1330db
豆腐皮(干)，又叫百片、腐衣、豆皮、油皮,热量：447 大卡(每100克),http://www.boohee.com/shiwu/doufupi
Easy Fun 高纤麦芽豆乳,热量：365 大卡(每100克),http://www.boohee.com/shiwu/fdef9621
豆奶粉,热量：423 大卡(每100克),http://www.boohee.com/shiwu/dounaifen
豆奶，又叫豆乳,热量：30 大卡(每100毫升),http://www.boohee.com/shiwu/dounai
杏仁(烤干，加盐),热量：617 大卡(每100克),http://www.boohee.com/shiwu/xingren_kaogan_jiayan
豆腐卷,热量：203 大卡(每100克),http://www.boohee.com/shiwu/doufujuan
O'day 扯扯素肉(麻辣味),热量：148 大卡(每100克),http://www.boohee.com/shiwu/fdec584b
Easy Fun 奇亚籽,热量：428 大卡(每100克),http://www.boohee.com/shiwu/fd1aa5af
西瓜子(熟)，又叫黑瓜子、黑瓜子,热量：550 大卡(每100克),http://www.boohee.com/shiwu/xiguazi_shu
杏仁(炒),热量：618 大卡(每100克),http://www.boohee.com/shiwu/xingren_chao
杏仁(烤干，不加盐),热量：617 大卡(每100克),http://www.boohee.com/shiwu/xingren_kaogan_bujiayan
豆腐丝(油),热量：304 大卡(每100克),http://www.boohee.com/shiwu/doufusi_you
白果(干)，又叫银杏、银杏,热量：355 大卡(每100克),http://www.boohee.com/shiwu/baiguo_gan
洽洽 香瓜子,热量：616 大卡(每100克),http://www.boohee.com/shiwu/qiaqiaxiangguazi2
南瓜子仁，又叫白瓜子、南瓜仁,热量：576 大卡(每100克),http://www.boohee.com/shiwu/nanguaziren
杏仁(熟、去壳),热量：625 大卡(每100克),http://www.boohee.com/shiwu/xingren_shu_quke
旭松 日本纳豆，又叫旭松纳豆,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xusongnadou
栗子(河北迁西)，又叫板栗（河北迁西）、板栗,热量：182 大卡(每100克),http://www.boohee.com/shiwu/lizi_hebeiqianxi
豆腐干(蒲包干),热量：135 大卡(每100克),http://www.boohee.com/shiwu/doufugan_pubaogan
桃仁，又叫毛桃仁、扁桃仁、大桃仁、光桃仁、炒桃仁,热量：429 大卡(每100克),http://www.boohee.com/shiwu/taoren
松子仁，又叫海松子、新罗松子,热量：718 大卡(每100克),http://www.boohee.com/shiwu/songziren
豆腐干(臭干),热量：99 大卡(每100克),http://www.boohee.com/shiwu/doufugan_chougan
杏仁(过油炸干),热量：631 大卡(每100克),http://www.boohee.com/shiwu/xingren_guoyouzhagan
豆腐丝(干),热量：451 大卡(每100克),http://www.boohee.com/shiwu/doufusi_gan
榛子(熟),热量：642 大卡(每100克),http://www.boohee.com/shiwu/zhenzi_shu
腐竹(干)，又叫支竹、甜竹、腐筋,热量：485 大卡(每100克),http://www.boohee.com/shiwu/fuzhu
花生米(油炸)，又叫花生仁（油炸）,热量：583 大卡(每100克),http://www.boohee.com/shiwu/huashengren_youzha
豆腐丝,热量：203 大卡(每100克),http://www.boohee.com/shiwu/doufusi
千张，又叫百页、皮子、豆片、干豆腐、百页,热量：262 大卡(每100克),http://www.boohee.com/shiwu/qianzhang
花生(烤、勤俭牌),热量：586 大卡(每100克),http://www.boohee.com/shiwu/huasheng_kao_qinjianpai
青豆(干)，又叫青大豆、青大豆,热量：398 大卡(每100克),http://www.boohee.com/shiwu/qingdou
豆腐干(酱油干)，又叫豆干,热量：157 大卡(每100克),http://www.boohee.com/shiwu/doufugan_jiangyougan
腰果，又叫鸡腰果、介寿果,热量：559 大卡(每100克),http://www.boohee.com/shiwu/yaoguo
莲子(干)，又叫莲宝、莲米、藕实、水芝、丹泽芝、莲蓬子、水笠子,热量：350 大卡(每100克),http://www.boohee.com/shiwu/lianzi_gan
山核桃,热量：616 大卡(每100克),http://www.boohee.com/shiwu/shanhetao_gan
内酯豆腐，又叫豆腐,热量：50 大卡(每100克),http://www.boohee.com/shiwu/doufu_neizhi
杏仁(大),热量：540 大卡(每100克),http://www.boohee.com/shiwu/xingren_da
山核桃(熟)，又叫小核桃、小核桃,热量：658 大卡(每100克),http://www.boohee.com/shiwu/shanhetao_shu
花生(烤、密日兴牌),热量：475 大卡(每100克),http://www.boohee.com/shiwu/huasheng_kao_mirixingpai
开心果,热量：631 大卡(每100克),http://www.boohee.com/shiwu/kaixinguo_shu
素鸡,热量：194 大卡(每100克),http://www.boohee.com/shiwu/suji
黑豆，又叫黑大豆、乌豆、橹豆、马料豆、料豆、零乌豆、冬豆子、黑大豆,热量：401 大卡(每100克),http://www.boohee.com/shiwu/heidou
豆腐干(卤干)，又叫豆干,热量：339 大卡(每100克),http://www.boohee.com/shiwu/doufugan_lugan
腰果(熟),热量：615 大卡(每100克),http://www.boohee.com/shiwu/yaoguo_shu
西瓜子(炒),热量：582 大卡(每100克),http://www.boohee.com/shiwu/xiguazi_chao
榛子，又叫尖栗、平榛、山反栗,热量：561 大卡(每100克),http://www.boohee.com/shiwu/zhenzi_gan
白芝麻，又叫芝麻籽(白),热量：536 大卡(每100克),http://www.boohee.com/shiwu/zhimazi_bai
豆腐干(熏干)，又叫豆干,热量：154 大卡(每100克),http://www.boohee.com/shiwu/doufugan_xungan
素火腿,热量：213 大卡(每100克),http://www.boohee.com/shiwu/suhuotui
美国大杏仁，又叫巴旦木,热量：586 大卡(每100克),http://www.boohee.com/shiwu/meiguodaxingren
杏仁(熟、带壳),热量：648 大卡(每100克),http://www.boohee.com/shiwu/xingren_shu_daike
毛核桃,热量：184 大卡(每100克),http://www.boohee.com/shiwu/maohetao
榛子仁(熟),热量：628 大卡(每100克),http://www.boohee.com/shiwu/zhenziren_shu
松子(炒)，又叫罗松子、海松子、新罗松子、红松果、松仁、松元,热量：644 大卡(每100克),http://www.boohee.com/shiwu/songzi_chao
榛子(炒),热量：611 大卡(每100克),http://www.boohee.com/shiwu/zhenzi_chao
红卤鸡爪,热量：236 大卡(每100克),http://www.boohee.com/shiwu/honglujizhua
扬州炒饭,热量：146 大卡(每100克),http://www.boohee.com/shiwu/yangzhoudanchaofan
炒土豆丝,热量：98 大卡(每100克),http://www.boohee.com/shiwu/chaotudousi
牛肉包子,热量：216 大卡(每100克),http://www.boohee.com/shiwu/niuroubaozi
炒面/炒粉，又叫炒面、炒粉,热量：210 大卡(每100克),http://www.boohee.com/shiwu/chaomian2
韭菜炒豆芽，又叫韭菜炒绿豆芽,热量：41 大卡(每100克),http://www.boohee.com/shiwu/jiucaichaolvdouya
千层饼，又叫瓤子饼,热量：295 大卡(每100克),http://www.boohee.com/shiwu/qiancengbing
菜煎饼,热量：151 大卡(每100克),http://www.boohee.com/shiwu/caijianbing
炒胡萝卜片，又叫胡萝卜,热量：61 大卡(每100克),http://www.boohee.com/shiwu/chaohuluobopian
清炒油麦菜,热量：44 大卡(每100克),http://www.boohee.com/shiwu/qingchaoyoumaicai
黑芝麻糊粉,热量：408 大卡(每100毫升),http://www.boohee.com/shiwu/heizhimahufen
豆腐干(小香干)，又叫豆干,热量：174 大卡(每100克),http://www.boohee.com/shiwu/doufugan_xiaoxianggan
杏仁(原味)，又叫北杏仁、杏核仁、杏子、杏人,热量：596 大卡(每100克),http://www.boohee.com/shiwu/xingren_yuanweiquanbu
栗子(鲜)，又叫板栗、大栗、栗果、毛栗、棋子、栗楔、板栗,热量：188 大卡(每100克),http://www.boohee.com/shiwu/lizi_xian
葵花子(炒),热量：625 大卡(每100克),http://www.boohee.com/shiwu/kuihuazi_chao
南瓜子，又叫南瓜籽、白瓜子、南瓜子(炒)、白瓜子,热量：582 大卡(每100克),http://www.boohee.com/shiwu/nanguazi_chao
豆腐干(菜干)，又叫豆干,热量：137 大卡(每100克),http://www.boohee.com/shiwu/doufugan_caigan
乐购 浓豆浆，又叫TESCO 浓豆浆,热量：26 大卡(每100毫升),http://www.boohee.com/shiwu/legounongdoujiang
西瓜子(话梅),热量：567 大卡(每100克),http://www.boohee.com/shiwu/xiguazi_huamei
黄豆粉，又叫大豆粉,热量：432 大卡(每100克),http://www.boohee.com/shiwu/huangdoufen
白玉 家庭号无糖豆浆,热量：23 大卡(每100毫升),http://www.boohee.com/shiwu/baiyuwutangdoujiang_jiatinghao
葵花子(熟),热量：591 大卡(每100克),http://www.boohee.com/shiwu/kuihuazi_shu
香榧(熟)，又叫香榧、赤果、野极子、榧实、罴子、玉杉果,热量：644 大卡(每100克),http://www.boohee.com/shiwu/xiangfei_shu
芡实米(干)，又叫鸡头米、水鸡头、鸡头苞、鸡嘴莲、刺莲蓬实、鸡头米,热量：352 大卡(每100克),http://www.boohee.com/shiwu/qianshimi
杏仁(漂白后),热量：602 大卡(每100克),http://www.boohee.com/shiwu/xingren_piaobaihou
松子,热量：553 大卡(每100克),http://www.boohee.com/shiwu/songzi_shu
栗子(山东)，又叫板栗（山东）、板栗,热量：168 大卡(每100克),http://www.boohee.com/shiwu/lizi_shandong
多力 豆奶粉(牌),热量：405 大卡(每100克),http://www.boohee.com/shiwu/dounaifen_duolipai
南方 无糖黑芝麻糊,热量：416 大卡(每100毫升),http://www.boohee.com/shiwu/nanfangwutangheizhimahu
西瓜子仁,热量：566 大卡(每100克),http://www.boohee.com/shiwu/xiguaziren
Beauty Reset 焕白肌密果味饮料,热量：29 大卡(每100毫升),http://www.boohee.com/shiwu/fdae59f0
芬达 橙味汽水,热量：34 大卡(每100毫升),http://www.boohee.com/shiwu/fd040161
Easy Fun 意式咖啡包(奶萃),热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd80e745
O'day 运动蛋白粉(蜜桃味),热量：404 大卡(每100克),http://www.boohee.com/shiwu/fd214dac
Easy Fun 西梅饮，又叫超模25 畅爽西梅饮,热量：132 大卡(每100毫升),http://www.boohee.com/shiwu/fdfba59b
超模25 果蔬营养素(番茄味),热量：70 大卡(每100克),http://www.boohee.com/shiwu/fd634fb2
喜乐(乳酸饮料),热量：53 大卡(每100毫升),http://www.boohee.com/shiwu/xile_rusuanyinliao
橙汁汽水，又叫橙汁,热量：20 大卡(每100毫升),http://www.boohee.com/shiwu/chengzhiqishui
CoCo都可 鲜芋青稞奶茶-不加糖(营养师估算)，又叫鲜芋青稞奶茶,热量：102 大卡(每100毫升),http://www.boohee.com/shiwu/fdc3f2b1
咖啡豆,热量：313 大卡(每100克),http://www.boohee.com/shiwu/kafeidou
椰子汁饮料,热量：51 大卡(每100毫升),http://www.boohee.com/shiwu/yezizhiyinliao
康师傅 茉莉清茶(淡雅低糖),热量：16 大卡(每100毫升),http://www.boohee.com/shiwu/kangshifumoliqingcha
统一 绿茶(低糖茉莉花味),热量：16 大卡(每100毫升),http://www.boohee.com/shiwu/tongyilvcha_ditangmolihuawei
三得利 乌龙茶(无糖)，又叫SUNTORY 乌龙茶（无糖）,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/sandeliwulongchahiwutanghi
康师傅 茉莉蜜茶,热量：31 大卡(每100毫升),http://www.boohee.com/shiwu/kangshifumolimicha
花茶(花茶本身)，又叫香片、熏花茶、窨花茶,热量：316 大卡(每100克),http://www.boohee.com/shiwu/huacha
胡萝卜汁饮料,热量：24 大卡(每100毫升),http://www.boohee.com/shiwu/huluobozhiyinliao
苹果汁饮料(光明牌),热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/pingguozhiyinliao_guangmingpai
红果汁,热量：157 大卡(每100毫升),http://www.boohee.com/shiwu/hongguozhi
惠尔康 谷粒谷力玉米南瓜浓浆,热量：44 大卡(每100毫升),http://www.boohee.com/shiwu/guliguliyuminanguanongjiang
啤酒,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/pijiu_junzhi
珍珠奶茶，又叫奶茶、招牌奶茶,热量：52 大卡(每100克),http://www.boohee.com/shiwu/zhenzhunaicha
天福茗茶 绿茶粉,热量：328 大卡(每100克),http://www.boohee.com/shiwu/tianfumingchapailvchafen
绿茶(茶叶本身)，又叫绿茶、茶叶,热量：328 大卡(每100克),http://www.boohee.com/shiwu/lvcha
柠檬汁,热量：27 大卡(每100毫升),http://www.boohee.com/shiwu/ningmengzhi
江米酒，又叫糯米酒、甜酒、酒酿、醪糟,热量：91 大卡(每100毫升),http://www.boohee.com/shiwu/jiangmijiu
红酒，又叫葡萄酒,热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/hongjiu
茶水，又叫茶,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/chashui
汇源 橙汁，又叫橙汁饮料（汇源牌）,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/chengzhiyinliao_huiyuanpai
光明 藜麦谷物牛奶,热量：76 大卡(每100毫升),http://www.boohee.com/shiwu/fdee4440
光明 巧克努力 巧克力牛奶饮品,热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/fd149b3f
光明 一只椰子 牛乳饮品,热量：58 大卡(每100毫升),http://www.boohee.com/shiwu/fd755b55
可口可乐 汽水，又叫可乐,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/fd46aa5b
康宝莱 蛋白混合饮料(巧克力味),热量：370 大卡(每100克),http://www.boohee.com/shiwu/kangbaolaidanbaihunheyinliao
私房小厨杏仁粉,热量：580 大卡(每100克),http://www.boohee.com/shiwu/sifangxiaochuxingrenfen
甘蔗汁,热量：65 大卡(每100毫升),http://www.boohee.com/shiwu/ganzhezhi
铁观音茶(茶叶本身),热量：334 大卡(每100克),http://www.boohee.com/shiwu/tieguanyincha
可可粉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/kekefen
农夫山泉 水溶C100 柠檬汁，又叫农夫水溶C100柠檬汁,热量：38 大卡(每100毫升),http://www.boohee.com/shiwu/shuirongC100ningmengzhi
红葡萄酒,热量：74 大卡(每100毫升),http://www.boohee.com/shiwu/hongputaojiu
Easy Ace 绿咖啡果蔬饮,热量：76 大卡(每100毫升),http://www.boohee.com/shiwu/fda112e2
Easy Fun 冷萃冻干速溶咖啡粉,热量：337 大卡(每100克),http://www.boohee.com/shiwu/fdd71b5b
Easy Fun 法式南瓜汤,热量：313 大卡(每100毫升),http://www.boohee.com/shiwu/fde94499
Easy Ace 营养代餐奶昔酸奶味，又叫Easy Ace 益生菌代餐奶昔（酸奶味）,热量：379 大卡(每100克),http://www.boohee.com/shiwu/fdc8386b
Easy Ace 营养代餐奶昔奶茶味，又叫Easy Ace 茶多酚代餐奶昔（奶茶味）,热量：350 大卡(每100克),http://www.boohee.com/shiwu/fd0d6417
饮用水，又叫水、自来水、白开水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/yinyongshui
咖啡粉，又叫速溶咖啡粉,热量：218 大卡(每100克),http://www.boohee.com/shiwu/kafeifen
麦斯威尔 原味咖啡，又叫  maxwell 原味咖啡,热量：478 大卡(每100克),http://www.boohee.com/shiwu/maisiweieryuanweikafei
无糖美式咖啡，又叫美式、冰美式、热美式、热美式咖啡、美式咖啡、澳黑、咖啡、黑咖啡、黑咖啡（液）,热量：1 大卡(每100毫升),http://www.boohee.com/shiwu/heikafei
矿泉水，又叫水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/kuangquanshui
红茶(茶叶本身),热量：324 大卡(每100克),http://www.boohee.com/shiwu/hongcha
统一弗蕾奶茶-经典麦香,热量：33 大卡(每100毫升),http://www.boohee.com/shiwu/tongyifuleinaicha-jingdianmaixiang
雀巢 原叶低糖绿茶，又叫Nestle 原叶低糖绿茶,热量：16 大卡(每100毫升),http://www.boohee.com/shiwu/quechaoyuanyeditanglvcha
椰树 椰汁,热量：50 大卡(每100毫升),http://www.boohee.com/shiwu/zhengzongyeshupaiyezhi
可口可乐 零度 汽水，又叫0度可乐,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/fdf96dfc
可口可乐 樱桃味汽水,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/fde140ed
可口可乐 姜味汽水,热量：31 大卡(每100毫升),http://www.boohee.com/shiwu/fd254263
可口可乐 健怡 汽水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/fda1dc8b
可口可乐 纤维+ 汽水,热量：0 大卡(每100毫升),http://www.boohee.com/shiwu/fd68003b
杏仁露,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/xingrenlu
可口可乐 香草味汽水,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/fdc9230d
弗蕾绿奶茶(鲜绿茉香口味),热量：33 大卡(每100毫升),http://www.boohee.com/shiwu/fuleilvnaichahixianlvmoxiangkouweihi
可乐，又叫可乐,热量：45 大卡(每100毫升),http://www.boohee.com/shiwu/bingchuankele
超模25 综合营养素(树莓味),热量：49 大卡(每100克),http://www.boohee.com/shiwu/fdb9c73c
超模25 营养玄米饮(抹茶味),热量：358 大卡(每100克),http://www.boohee.com/shiwu/fd4b5ee7
超模25 营养可可,热量：366 大卡(每100克),http://www.boohee.com/shiwu/fdc78d52
Easy Fun 路易波士茶,热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd90acfe
Easy Fun 纯马黛茶,热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd36d1d9
超模25 营养饮(玉米蔬菜味),热量：366 大卡(每100克),http://www.boohee.com/shiwu/fde0c510
Easy Fun 玉米须茶,热量：0 大卡(每100克),http://www.boohee.com/shiwu/fd2e9127
十全苹果醋,热量：29 大卡(每100毫升),http://www.boohee.com/shiwu/shiquanpingguocu
维他 奶原味豆奶饮料(低脂肪)，又叫Vitasoy 奶原味豆奶饮料（低脂肪）,热量：48 大卡(每100毫升),http://www.boohee.com/shiwu/weitanai_dizhidounai
七喜,热量：30 大卡(每100毫升),http://www.boohee.com/shiwu/qixi
橙汁饮料(光明牌),热量：44 大卡(每100毫升),http://www.boohee.com/shiwu/chengzhiyinliao_guangmingpai
康师傅 绿茶(低糖),热量：15 大卡(每100毫升),http://www.boohee.com/shiwu/kangshifulvcha_ditang
麦氏典藏MAXIM原味咖啡,热量：441 大卡(每100克),http://www.boohee.com/shiwu/maishidiancangMAXIMyuanweikafei
雀巢 冰爽茶冰极柠檬味绿茶饮料，又叫Nestle 冰爽茶冰极柠檬味绿茶饮料,热量：39 大卡(每100克),http://www.boohee.com/shiwu/quechaobingshuangchabingjiningmengweilvchayinliao
麦斯威尔 致醇口味咖啡，又叫  maxwell 致醇口味咖啡,热量：365 大卡(每100克),http://www.boohee.com/shiwu/maisiweierzhichunkouweikafei
丹特 牌蜂蜜柚子茶，又叫DAMTUH 牌蜂蜜柚子茶,热量：260 大卡(每100克),http://www.boohee.com/shiwu/dantepaifengmiyouzicha
橘子汁，又叫橙汁,热量：119 大卡(每100毫升),http://www.boohee.com/shiwu/juzizhi
猪油(板油)，又叫油，食用油，猪网油,热量：827 大卡(每100克),http://www.boohee.com/shiwu/zhuyou_banyou
玉米油,热量：895 大卡(每100克),http://www.boohee.com/shiwu/yumiyou
春明 香油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/xiangyou
黄油，又叫白脱油、无盐黄油,热量：888 大卡(每100克),http://www.boohee.com/shiwu/huangyou
欧丽薇兰 特级初榨橄榄油,热量：814 大卡(每100克),http://www.boohee.com/shiwu/ouliweilantejichuzhaganlanyou
金龙鱼 玉米油,热量：884 大卡(每100克),http://www.boohee.com/shiwu/jinlongyuyumiyou
胡麻油，又叫亚麻油、亚麻子油、胡麻子油,热量：900 大卡(每100毫升),http://www.boohee.com/shiwu/humayou
粟米油，又叫玉米胚芽油,热量：900 大卡(每100毫升),http://www.boohee.com/shiwu/sumiyou
茶油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/chayou
大麻油，又叫粟米油,热量：899 大卡(每100毫升),http://www.boohee.com/shiwu/damayou
芝麻油，又叫麻油、芝麻油、香油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/zhimayou
色拉油,热量：898 大卡(每100克),http://www.boohee.com/shiwu/selayou
花生油，又叫落花生油、果油、油、食用油,热量：899 大卡(每100毫升),http://www.boohee.com/shiwu/huashengyou
豆油，又叫油，食用油，大豆油,热量：899 大卡(每100毫升),http://www.boohee.com/shiwu/douyou
混合油(菜+棕),热量：900 大卡(每100毫升),http://www.boohee.com/shiwu/hunheyou_caizong
葵花籽油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/kuihuaziyou
橄榄油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/ganlanyou
菜籽油，又叫菜子油、菜油、油菜籽油、芸苔油、香菜油、青油,热量：899 大卡(每100毫升),http://www.boohee.com/shiwu/caiziyou
辣椒油，又叫红油,热量：900 大卡(每100克),http://www.boohee.com/shiwu/lajiaoyou
金龙鱼食用调和油,热量：884 大卡(每100克),http://www.boohee.com/shiwu/jinlongyushiyongdiaoheyou
柠檬茶(雀巢 牌，固体饮料)，又叫柠檬茶（Nestle 牌，固体饮料）,热量：406 大卡(每100克),http://www.boohee.com/shiwu/ningmengcha
汇源 100%苹果汁,热量：38 大卡(每100毫升),http://www.boohee.com/shiwu/huiyuan100pingguozhi
美汁源 果粒橙,热量：41 大卡(每100毫升),http://www.boohee.com/shiwu/meizhiyuanguolicheng2
 惠尔康谷粒谷力荞麦浓浆,热量：18 大卡(每100毫升),http://www.boohee.com/shiwu/hihuierkangguliguliqiaomainongjiang
酸乳饮料,热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/suanruyinliao
麒麟午后红茶奶茶饮料-低脂肪,热量：34 大卡(每100毫升),http://www.boohee.com/shiwu/qilinwuhouhongchanaichayinliao-dizhifang
长城 葡萄酒(干红，11.5%，牌),热量：72 大卡(每100毫升),http://www.boohee.com/shiwu/putaojiu_ganhong_115_changchengpai
青岛 啤酒(4.3%，牌),热量：38 大卡(每100毫升),http://www.boohee.com/shiwu/pijiu_43_qingdaopai
南国牌速溶椰子粉,热量：465 大卡(每100克),http://www.boohee.com/shiwu/nanguopaisurongyezifen
崇明老白酒，又叫烧酒、白干儿、火酒、烈性酒、高度酒,热量：298 大卡(每100毫升),http://www.boohee.com/shiwu/chongminglaobaijiu
红烧豆腐，又叫自磨豆腐,热量：103 大卡(每100克),http://www.boohee.com/shiwu/hongshaodoufu
红烧茄子,热量：61 大卡(每100克),http://www.boohee.com/shiwu/hongshaoqiezi
蒜蓉海带，又叫蒜茸海带,热量：50 大卡(每100克),http://www.boohee.com/shiwu/suanronghaidai
烧花菜,热量：50 大卡(每100克),http://www.boohee.com/shiwu/shaohuacai
黄瓜炒蛋，又叫青瓜炒蛋,热量：52 大卡(每100克),http://www.boohee.com/shiwu/huangguachaodan
清蒸蛋羹,热量：61 大卡(每100克),http://www.boohee.com/shiwu/qingzhengdangeng
炒豇豆，又叫长豆角,热量：41 大卡(每100克),http://www.boohee.com/shiwu/chaojiangdou
咖喱鸡块土豆,热量：102 大卡(每100克),http://www.boohee.com/shiwu/kalijikuaitudou
素炒菜花,热量：53 大卡(每100克),http://www.boohee.com/shiwu/suchaocaihua
花菜炒肉，又叫花菜炒肉、菜花炒肉、肉片炒花菜,热量：62 大卡(每100克),http://www.boohee.com/shiwu/roupianchaocaihua
麦芽油,热量：899 大卡(每100克),http://www.boohee.com/shiwu/maiyayou
油茶籽油,热量：898 大卡(每100毫升),http://www.boohee.com/shiwu/youchaziyou
