食物名称,热量,食物热量详情页
红薯，又叫地瓜、番薯、甘薯、山芋、红薯,热量：86 大卡(每100克),http://www.boohee.com/shiwu/ganshu_hongxin
小米粥,热量：46 大卡(每100克),http://www.boohee.com/shiwu/xiaomizhou
马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯、土豆、洋芋,热量：81 大卡(每100克),http://www.boohee.com/shiwu/malingshu
炒上海青，又叫炒青菜,热量：53 大卡(每100克),http://www.boohee.com/shiwu/chaoqingcai
番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、柿子炒鸡蛋、番茄炒鸡蛋、西红柿炒鸡蛋、西虹市炒鸡蛋、番茄炒蛋,热量：74 大卡(每100克),http://www.boohee.com/shiwu/fanqiechaodan
鸡蛋羹，又叫蒸蛋,热量：60 大卡(每100克),http://www.boohee.com/shiwu/qingzhengjidangeng
绿豆汤,热量：37 大卡(每100毫升),http://www.boohee.com/shiwu/lvdoutang
素炒小白菜，又叫小青菜,热量：43 大卡(每100克),http://www.boohee.com/shiwu/suchaoxiaobaicai
烧茄子,热量：74 大卡(每100克),http://www.boohee.com/shiwu/shaoqiezi
绿豆粥，又叫绿豆稀饭,热量：48 大卡(每100毫升),http://www.boohee.com/shiwu/lvdouzhou
菜包子，又叫香菇菜包、菜包子、素包子、素包、香菇青菜包、素菜包、香菇青菜包、香菇包子,热量：130 大卡(每100克),http://www.boohee.com/shiwu/xiangguqingcaibaozi
蛋炒饭，又叫黄金炒饭、蛋炒饭,热量：143 大卡(每100克),http://www.boohee.com/shiwu/danchaofan
红烧鳓鱼,热量：216 大卡(每100克),http://www.boohee.com/shiwu/hongshaoyu
Henry's Market 有机热狗面包,热量：158 大卡(每100克),http://www.boohee.com/shiwu/HenryhishiMarkethiyoujiregoumi
厨乐 意大利面(烟斗型)，又叫ZARA 意大利面（烟斗型）,热量：358 大卡(每100克),http://www.boohee.com/shiwu/pastahiZARAhichulehiyidalimian_yandouxing
Burgen黑麦消化面包,热量：232 大卡(每100克),http://www.boohee.com/shiwu/Burgenheimaixiaohuamianbao
非凡农庄 PEPPERBRIDGE全麦面包(低脂低卡)，又叫Pepperidge farm PEPPERBRIDGE全麦面包（低脂低卡）,热量：211 大卡(每100克),http://www.boohee.com/shiwu/pepperbridgequanmaimianbao_diz
乐天 DIGET原味全麦饼干，又叫Lotte DIGET原味全麦饼干,热量：483 大卡(每100克),http://www.boohee.com/shiwu/hanguoletianDigetyuanweiquanma
北海道速食五谷片,热量：376 大卡(每100克),http://www.boohee.com/shiwu/beihaidaosushiwugupian
寿桃 牌乌冬面,热量：152 大卡(每100克),http://www.boohee.com/shiwu/shoutaohuiwudongmian
顶味 韩式海鲜面,热量：302 大卡(每100克),http://www.boohee.com/shiwu/dingweihanshihaixianmian
家乐氏 SPECIALK蜂蜜燕麦麦片，又叫Kellogg's SPECIALK蜂蜜燕麦麦片,热量：379 大卡(每100克),http://www.boohee.com/shiwu/KellogghishiSpecialhiKhifengmi
露澳牌意大利硬质小麦面,热量：359 大卡(每100克),http://www.boohee.com/shiwu/luaopaiyidaliyingzhixiaomaimia
Easy Fun 低脂鸡蛋干(五香味),热量：145 大卡(每100克),http://www.boohee.com/shiwu/fdebfdd6
Easy Fun 低脂鸡蛋干(山椒味),热量：125 大卡(每100克),http://www.boohee.com/shiwu/fd4a994d
Easy Fun 低脂蛋清鸡肉饼(原味),热量：139 大卡(每100克),http://www.boohee.com/shiwu/fda126a3
Easy Fun 低脂鸡胸肉肠(黑椒味),热量：122 大卡(每100克),http://www.boohee.com/shiwu/fd988b08
草鱼，又叫鲩鱼、混子、草鲩、草包鱼、草根鱼、草青、白鲩,热量：113 大卡(每100克),http://www.boohee.com/shiwu/caoyu
鸡蛋(土鸡),热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_tuji
鸡蛋(白皮),热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_baipi
鸡蛋(红皮),热量：156 大卡(每100克),http://www.boohee.com/shiwu/jidan_hongpi
鸡腿，又叫鸡腿肉,热量：146 大卡(每100克),http://www.boohee.com/shiwu/jitui
酱牛肉,热量：246 大卡(每100克),http://www.boohee.com/shiwu/jiangniurou
Easy Fun 高蛋白小酥鱼(藤椒味),热量：351 大卡(每100克),http://www.boohee.com/shiwu/fdc19ab3
鸡蛋，又叫鸡子、鸡卵、蛋,热量：139 大卡(每100克),http://www.boohee.com/shiwu/jidan_junzhi
Easy Fun 低脂鸡胸肉肠(香辣味),热量：136 大卡(每100克),http://www.boohee.com/shiwu/fd7a0fa9
Easy Fun 鸡胸肉丝(原味),热量：418 大卡(每100克),http://www.boohee.com/shiwu/fda82c33
Easy Fun 低脂鸡胸肉(黑椒味),热量：134 大卡(每100克),http://www.boohee.com/shiwu/fd1c845f
Easy Fun 低脂鸡胸肉(香辣味),热量：130 大卡(每100克),http://www.boohee.com/shiwu/fd4a70b4
Easy Fun 低脂鸡肉丸(原味)，又叫Easy Fun 低脂鸡肉丸（原味）、Easy Fun 低脂鸡胸肉丸（原味）,热量：93 大卡(每100克),http://www.boohee.com/shiwu/fd4e5f89
Easy Fun 高蛋白小酥鱼(海苔味)，又叫Easy Fun 高蛋白海苔鱼酥,热量：305 大卡(每100克),http://www.boohee.com/shiwu/fde9dde4
Easy Fun 低脂鸡胸肉肠(原味),热量：131 大卡(每100克),http://www.boohee.com/shiwu/fd041822
猪小排，又叫排骨、猪排、猪脊骨,热量：295 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai
玛丽娅妈妈早餐麦片,热量：338 大卡(每100克),http://www.boohee.com/shiwu/maliyamamazaocanmaipian
莲花低筋面粉,热量：362 大卡(每100克),http://www.boohee.com/shiwu/lianhuadijinmianfen
宾堡甜奶油切片面包,热量：301 大卡(每100克),http://www.boohee.com/shiwu/binbaotiannaiyouqiepianmianbao
陈克明 可爱宝宝胡萝卜挂面,热量：346 大卡(每100克),http://www.boohee.com/shiwu/chenkemingkeaibaobaohuluobogua
